num,changelog,date_pub,est_public,telechargement,id_application
v9.8,Bug fixes,2023-12-30 17:36:46,1,2049,2
v9.6,Bug fixes,2023-03-22 19:16:40,1,7568,17
v3.4,Bug fixes,2023-09-06 12:10:52,1,1025,159
v8.1,Bug fixes,2023-12-27 22:00:46,1,598,198
v3.3,Bug fixes,2023-11-08 17:38:14,1,735,140
v10.7,Bug fixes,2023-12-26 13:45:47,1,6349,179
v7.5,Bug fixes,2023-12-06 19:22:32,1,6539,172
v7.5,Bug fixes,2023-12-09 07:11:59,1,2819,196
v7.0,Bug fixes,2023-12-30 09:11:01,1,8872,166
v3.7,Bug fixes,2023-12-12 21:23:52,1,5600,7
v8.3,Bug fixes,2023-12-02 14:28:54,1,4731,118
v1.3,Bug fixes,2023-10-09 22:50:17,1,1537,194
v9.2,Bug fixes,2023-07-05 10:58:23,1,675,195
v4.1,Bug fixes,2023-12-28 04:33:40,1,9571,160
v6.3,Bug fixes,2023-12-25 05:05:03,1,7354,32
v9.9,Bug fixes,2023-12-15 19:08:26,1,1388,171
v1.4,Bug fixes,2023-01-13 07:38:46,1,682,24
v9.5,Bug fixes,2023-11-29 12:29:22,1,8832,178
v10.2,Bug fixes,2023-12-13 07:18:30,1,1802,142
v10.9,Bug fixes,2023-12-29 13:43:50,1,504,33
v5.6,Bug fixes,2023-11-16 13:48:38,1,2414,31
v5.2,Bug fixes,2023-12-29 07:01:51,1,6802,63
v5.2,Bug fixes,2023-12-27 07:27:07,1,2371,16
v2.1,Bug fixes,2023-08-31 01:49:11,1,430,75
v9.9,Bug fixes,2023-03-24 08:39:29,1,5556,189
v4.3,Bug fixes,2023-11-25 22:38:08,1,4952,84
v4.8,Bug fixes,2023-12-10 02:17:42,1,5487,91
v4.9,Bug fixes,2023-12-30 23:36:46,1,1056,26
v7.3,Bug fixes,2023-09-02 03:55:19,1,9584,21
v6.9,Bug fixes,2023-12-30 23:10:19,1,3920,146
v3.0,Bug fixes,2023-12-28 15:52:56,1,1220,183
v9.4,Bug fixes,2023-12-30 00:51:19,1,723,33
v7.7,Bug fixes,2023-11-29 03:22:45,1,3661,79
v3.4,Bug fixes,2022-12-16 16:41:45,1,946,170
v5.8,Bug fixes,2023-08-01 02:18:33,1,9701,36
v8.1,Bug fixes,2022-12-04 08:25:14,1,9121,102
v9.0,Bug fixes,2023-12-29 23:27:51,1,5418,68
v3.3,Bug fixes,2023-05-27 14:06:19,1,3519,74
v3.4,Bug fixes,2023-09-21 05:46:19,1,539,88
v1.8,Bug fixes,2023-03-20 05:29:17,1,4239,8
v5.7,Bug fixes,2023-03-15 22:03:58,1,656,195
v2.8,Bug fixes,2023-12-24 04:38:17,1,8443,32
v3.4,Bug fixes,2023-12-28 00:49:35,1,3284,43
v3.5,Bug fixes,2023-12-17 11:06:47,1,1053,187
v1.1,Bug fixes,2023-11-08 02:59:47,1,8212,19
v8.7,Bug fixes,2023-09-15 13:36:33,1,4866,176
v2.5,Bug fixes,2023-11-04 14:39:18,1,2928,129
v5.7,Bug fixes,2023-12-12 04:18:19,1,2846,151
v1.2,Bug fixes,2023-10-11 20:52:33,1,1992,103
v10.2,Bug fixes,2023-12-10 06:05:52,1,4797,188
v3.9,Bug fixes,2023-08-12 23:50:27,1,8155,28
v9.0,Bug fixes,2023-05-22 15:41:58,1,378,141
v9.6,Bug fixes,2023-12-30 05:13:18,1,7246,192
v1.6,Bug fixes,2023-12-02 14:03:04,1,8484,5
v10.0,Bug fixes,2023-10-03 19:30:28,1,644,152
v5.0,Bug fixes,2023-12-12 09:56:02,1,7006,187
v5.1,Bug fixes,2023-12-29 15:16:43,1,1410,44
v6.8,Bug fixes,2023-12-14 13:30:47,1,3437,86
v2.9,Bug fixes,2023-11-22 20:31:51,1,1035,23
v7.0,Bug fixes,2023-12-16 02:42:08,1,668,83
v2.1,Bug fixes,2023-12-11 11:55:51,1,8746,118
v2.6,Bug fixes,2023-11-22 00:29:17,1,9310,66
v6.2,Bug fixes,2023-11-19 10:56:40,1,1566,117
v6.6,Bug fixes,2022-08-10 23:51:54,1,9388,170
v5.3,Bug fixes,2023-08-17 18:14:06,1,9164,58
v1.6,Bug fixes,2023-10-12 16:05:41,1,5908,145
v6.8,Bug fixes,2023-12-05 00:09:29,1,5015,136
v6.7,Bug fixes,2023-11-20 00:55:58,1,6341,126
v1.8,Bug fixes,2023-10-25 05:38:36,1,4214,130
v5.8,Bug fixes,2023-12-28 19:34:36,1,1481,160
v4.3,Bug fixes,2023-12-30 15:54:45,1,6534,34
v3.2,Bug fixes,2023-10-16 10:42:45,1,8299,114
v8.2,Bug fixes,2023-12-28 09:47:22,1,9487,13
v3.6,Bug fixes,2023-08-05 07:30:24,1,309,111
v10.5,Bug fixes,2023-11-16 13:46:50,1,2790,110
v3.7,Bug fixes,2023-12-28 06:30:55,1,1422,67
v2.6,Bug fixes,2023-05-19 00:17:51,1,1113,88
v6.0,Bug fixes,2023-11-19 15:30:46,1,6130,199
v9.6,Bug fixes,2023-11-16 11:45:29,1,2844,120
v4.3,Bug fixes,2023-12-29 17:18:21,1,6580,71
v5.3,Bug fixes,2023-12-01 21:37:03,1,2312,51
v10.0,Bug fixes,2023-12-30 04:17:35,1,5203,46
v4.6,Bug fixes,2023-12-28 03:36:10,1,6108,148
v2.3,Bug fixes,2023-06-28 10:59:25,1,1775,96
v6.5,Bug fixes,2023-12-30 15:19:38,1,3921,192
v6.6,Bug fixes,2022-12-08 07:40:52,1,6390,96
v5.5,Bug fixes,2023-12-29 11:38:24,1,6858,63
v6.8,Bug fixes,2023-12-25 17:44:47,1,7533,56
v2.2,Bug fixes,2023-12-11 16:03:51,1,6431,23
v6.2,Bug fixes,2023-07-23 22:46:50,1,7506,18
v6.1,Bug fixes,2023-01-12 23:38:16,1,8747,119
v4.1,Bug fixes,2023-10-22 23:26:38,1,4444,86
v7.4,Bug fixes,2023-12-28 19:58:04,1,4204,71
v6.1,Bug fixes,2022-11-10 18:53:02,1,8605,62
v10.3,Bug fixes,2023-12-17 16:48:16,1,2996,61
v5.3,Bug fixes,2023-08-05 09:06:45,1,1474,183
v3.7,Bug fixes,2023-12-29 18:39:08,1,3933,174
v2.6,Bug fixes,2023-11-18 05:19:32,1,3547,12
v3.8,Bug fixes,2023-12-12 20:47:51,1,3563,103
v2.5,Bug fixes,2023-10-24 09:14:16,1,6593,111
v5.2,Bug fixes,2023-12-11 15:45:39,1,6217,86
v2.8,Bug fixes,2023-12-30 01:38:23,1,6157,39
v10.8,Bug fixes,2022-11-20 19:05:53,1,3601,166
v4.4,Bug fixes,2023-10-08 08:14:56,1,832,176
v9.4,Bug fixes,2023-12-26 03:12:28,1,9886,39
v7.0,Bug fixes,2023-11-17 09:18:52,1,8401,102
v7.0,Bug fixes,2023-12-29 17:17:14,1,3423,131
v10.5,Bug fixes,2023-01-25 01:32:05,1,3229,127
v6.3,Bug fixes,2023-11-14 19:31:51,1,4682,140
v6.6,Bug fixes,2023-11-04 13:38:35,1,4297,103
v7.2,Bug fixes,2023-11-25 08:57:51,1,6626,177
v8.1,Bug fixes,2022-12-22 07:24:16,1,8499,139
v3.2,Bug fixes,2023-12-30 01:13:22,1,427,1
v10.1,Bug fixes,2023-10-23 14:49:49,1,5189,193
v8.2,Bug fixes,2022-08-30 19:00:34,1,6652,12
v5.2,Bug fixes,2023-12-26 13:50:10,1,6083,79
v6.9,Bug fixes,2023-12-20 19:09:10,1,2834,116
v4.3,Bug fixes,2022-06-06 06:51:25,1,1719,62
v1.6,Bug fixes,2023-12-09 16:23:03,1,9384,186
v9.4,Bug fixes,2023-12-28 05:16:28,1,6978,137
v5.3,Bug fixes,2023-12-11 05:33:49,1,8760,193
v2.6,Bug fixes,2023-08-17 21:04:45,1,7902,111
v2.5,Bug fixes,2023-11-25 00:32:32,1,9585,178
v3.6,Bug fixes,2023-12-14 09:02:50,1,747,19
v8.6,Bug fixes,2023-10-30 13:02:42,1,227,130
v8.3,Bug fixes,2023-12-27 15:11:36,1,8847,184
v9.0,Bug fixes,2023-06-18 16:44:40,1,4348,177
v1.0,Bug fixes,2023-12-19 12:40:35,1,2393,38
v7.5,Bug fixes,2023-02-06 20:47:45,1,8573,164
v2.4,Bug fixes,2023-02-18 13:51:20,1,3401,189
v10.3,Bug fixes,2023-12-17 10:34:19,1,747,199
v4.7,Bug fixes,2023-04-21 02:57:39,1,669,93
v5.2,Bug fixes,2023-12-28 05:45:21,1,5104,39
v5.2,Bug fixes,2023-09-16 22:14:00,1,5072,29
v7.6,Bug fixes,2023-06-18 14:00:11,1,1867,11
v6.4,Bug fixes,2023-01-25 16:59:32,1,4536,64
v8.3,Bug fixes,2023-01-03 22:24:06,1,1243,18
v9.0,Bug fixes,2023-11-07 22:09:51,1,6188,115
v7.4,Bug fixes,2023-07-01 10:46:32,1,2861,81
v1.7,Bug fixes,2023-12-28 04:29:54,1,5504,15
v8.4,Bug fixes,2023-08-02 07:44:58,1,8364,162
v1.4,Bug fixes,2023-08-06 18:34:26,1,8749,129
v10.7,Bug fixes,2023-12-30 19:49:58,1,2151,37
v7.8,Bug fixes,2022-06-27 23:00:46,1,1027,189
v10.2,Bug fixes,2023-08-25 06:14:30,1,1025,152
v5.7,Bug fixes,2023-12-04 18:50:41,1,3217,64
v2.9,Bug fixes,2023-11-21 17:48:40,1,3478,59
v9.6,Bug fixes,2022-05-22 13:49:50,1,5626,17
v1.1,Bug fixes,2023-12-19 20:49:54,1,9792,56
v5.0,Bug fixes,2023-05-27 01:42:00,1,9989,77
v3.4,Bug fixes,2023-11-01 17:42:39,1,5057,57
v2.3,Bug fixes,2023-12-23 15:37:56,1,4557,194
v3.2,Bug fixes,2023-10-17 16:41:12,1,7808,147
v5.5,Bug fixes,2023-12-20 01:59:04,1,2261,196
v5.6,Bug fixes,2023-09-03 02:09:36,1,1588,8
v6.7,Bug fixes,2023-02-24 04:14:11,1,410,127
v2.7,Bug fixes,2023-12-06 02:11:52,1,3207,142
v3.4,Bug fixes,2023-12-03 07:51:23,1,4400,149
v9.3,Bug fixes,2023-09-15 11:32:16,1,3797,55
v3.2,Bug fixes,2023-12-29 11:42:04,1,2668,87
v4.8,Bug fixes,2023-12-27 07:02:03,1,3728,168
v3.0,Bug fixes,2023-12-16 03:23:42,1,2846,155
v2.2,Bug fixes,2023-11-25 06:24:01,1,8048,153
v7.4,Bug fixes,2023-12-30 07:51:29,1,1862,42
v2.1,Bug fixes,2023-12-02 02:09:53,1,4437,174
v5.2,Bug fixes,2023-07-29 18:30:11,1,6653,6
v1.1,Bug fixes,2023-12-30 02:03:30,1,6147,146
v3.9,Bug fixes,2023-10-05 08:55:13,1,8295,132
v3.8,Bug fixes,2023-12-06 17:21:01,1,8335,116
v9.7,Bug fixes,2023-12-30 16:05:40,1,4194,37
v7.5,Bug fixes,2023-06-17 04:51:41,1,6915,138
v2.0,Bug fixes,2023-10-17 20:03:09,1,2605,185
v6.9,Bug fixes,2023-07-18 16:09:29,1,4135,24
v2.1,Bug fixes,2023-12-30 21:57:09,1,290,37
v3.7,Bug fixes,2023-07-05 05:38:21,1,4895,8
v8.4,Bug fixes,2023-12-23 04:17:00,1,3265,16
v9.2,Bug fixes,2023-06-29 04:38:13,1,5890,28
v5.9,Bug fixes,2023-11-11 23:38:08,1,9885,198
v3.5,Bug fixes,2023-12-30 10:11:02,1,6854,46
v1.3,Bug fixes,2023-12-03 11:27:45,1,409,5
v6.0,Bug fixes,2023-11-28 00:27:49,1,1585,127
v3.3,Bug fixes,2023-12-29 22:12:09,1,7792,42
v4.5,Bug fixes,2023-12-07 23:15:00,1,3500,120
v3.4,Bug fixes,2023-12-01 14:08:06,1,434,98
v9.0,Bug fixes,2023-12-09 04:26:01,1,4216,30
v3.8,Bug fixes,2023-12-28 18:03:14,1,1795,71
v7.5,Bug fixes,2023-11-26 18:36:53,1,5106,120
v5.7,Bug fixes,2023-08-25 12:51:18,1,2765,125
v3.1,Bug fixes,2023-12-20 20:20:18,1,7365,125
v9.4,Bug fixes,2023-12-30 12:19:28,1,8479,192
v9.5,Bug fixes,2023-12-10 15:58:23,1,5115,153
