id_utilisateur,id_application,titre,contenu,date_publi,note
277,52,Super,Ceci est un commentaire.,2023-09-07 04:33:01,2
28,139,Super,Ceci est un commentaire.,2023-11-29 10:15:36,4
214,7,A revoir,Ceci est un commentaire.,2023-11-24 21:07:06,1
109,121,Super,Ceci est un commentaire.,2023-12-27 04:19:48,1
216,156,Genial,Ceci est un commentaire.,2023-12-01 01:28:14,1
352,196,Super,Ceci est un commentaire.,2023-12-28 14:42:25,5
53,149,A revoir,Ceci est un commentaire.,2023-12-21 22:54:44,3
83,56,Nul,Ceci est un commentaire.,2023-12-29 12:11:22,2
238,140,Nul,Ceci est un commentaire.,2023-10-12 18:37:38,2
26,50,Genial,Ceci est un commentaire.,2023-12-26 15:00:38,5
65,182,Nul,Ceci est un commentaire.,2023-09-21 10:38:46,2
251,130,Nul,Ceci est un commentaire.,2023-11-29 16:26:53,4
118,78,Bof,Ceci est un commentaire.,2023-12-04 15:50:08,2
334,99,A revoir,Ceci est un commentaire.,2023-12-17 12:39:42,1
105,118,Bof,Ceci est un commentaire.,2023-12-30 23:02:57,4
486,163,A revoir,Ceci est un commentaire.,2023-12-18 06:06:32,4
298,54,Bof,Ceci est un commentaire.,2023-09-10 06:24:57,5
387,155,Genial,Ceci est un commentaire.,2023-12-30 18:39:45,1
148,74,Bof,Ceci est un commentaire.,2023-12-28 14:25:46,4
104,34,A revoir,Ceci est un commentaire.,2023-12-30 10:02:26,4
340,27,A revoir,Ceci est un commentaire.,2023-12-28 03:45:29,2
145,21,Genial,Ceci est un commentaire.,2023-11-08 14:08:08,5
141,16,Genial,Ceci est un commentaire.,2023-12-30 01:45:46,4
443,108,Genial,Ceci est un commentaire.,2023-12-29 05:20:43,3
433,51,Bof,Ceci est un commentaire.,2023-12-24 18:25:06,3
410,112,Super,Ceci est un commentaire.,2023-12-30 11:39:23,4
254,121,Super,Ceci est un commentaire.,2023-12-04 19:28:17,4
213,49,Super,Ceci est un commentaire.,2023-12-30 14:48:48,4
221,106,Nul,Ceci est un commentaire.,2023-11-14 11:36:42,1
440,180,Nul,Ceci est un commentaire.,2023-12-16 13:54:15,2
290,192,Super,Ceci est un commentaire.,2023-12-30 09:05:27,3
343,53,Genial,Ceci est un commentaire.,2023-12-12 21:22:46,2
467,185,Genial,Ceci est un commentaire.,2023-04-23 06:43:15,3
282,93,Bof,Ceci est un commentaire.,2023-12-25 21:28:24,1
429,193,A revoir,Ceci est un commentaire.,2023-12-14 08:59:32,5
174,20,Super,Ceci est un commentaire.,2023-12-10 23:37:17,4
125,6,A revoir,Ceci est un commentaire.,2023-10-21 14:36:12,4
208,192,Super,Ceci est un commentaire.,2023-12-30 22:06:53,5
241,96,Bof,Ceci est un commentaire.,2023-11-28 17:36:07,4
5,162,Nul,Ceci est un commentaire.,2023-12-15 05:08:21,3
226,76,Nul,Ceci est un commentaire.,2023-12-08 02:09:56,5
245,6,Genial,Ceci est un commentaire.,2023-12-05 07:36:00,4
138,2,Super,Ceci est un commentaire.,2023-12-30 18:15:50,2
118,72,A revoir,Ceci est un commentaire.,2023-12-08 16:41:09,5
124,196,Bof,Ceci est un commentaire.,2023-12-30 10:20:55,4
479,147,Super,Ceci est un commentaire.,2023-12-11 18:21:07,3
117,45,Super,Ceci est un commentaire.,2023-12-30 18:44:39,4
120,90,Bof,Ceci est un commentaire.,2023-11-18 16:29:17,3
493,112,Genial,Ceci est un commentaire.,2023-12-09 00:55:25,2
383,117,A revoir,Ceci est un commentaire.,2023-11-22 16:17:07,5
179,120,A revoir,Ceci est un commentaire.,2023-11-24 12:25:40,5
169,160,Nul,Ceci est un commentaire.,2023-12-25 16:36:25,2
19,189,Super,Ceci est un commentaire.,2023-10-24 00:44:20,5
226,46,Super,Ceci est un commentaire.,2023-12-30 08:07:33,5
102,151,Nul,Ceci est un commentaire.,2023-10-26 08:27:10,3
17,169,Genial,Ceci est un commentaire.,2023-12-22 08:55:11,1
395,188,A revoir,Ceci est un commentaire.,2023-12-13 11:34:05,1
485,7,Genial,Ceci est un commentaire.,2023-12-28 12:27:15,3
174,95,Nul,Ceci est un commentaire.,2023-12-03 06:47:53,1
73,35,Genial,Ceci est un commentaire.,2023-12-23 11:00:26,2
447,175,Super,Ceci est un commentaire.,2023-12-27 10:05:26,2
300,77,A revoir,Ceci est un commentaire.,2023-12-30 14:44:33,2
234,114,Nul,Ceci est un commentaire.,2023-12-18 13:24:13,5
369,101,Genial,Ceci est un commentaire.,2023-12-17 17:14:37,4
16,88,Genial,Ceci est un commentaire.,2023-11-11 07:49:43,1
209,11,Nul,Ceci est un commentaire.,2023-10-22 15:09:36,1
467,17,Nul,Ceci est un commentaire.,2023-05-24 04:19:07,2
433,102,Genial,Ceci est un commentaire.,2023-06-04 09:38:09,4
278,58,Nul,Ceci est un commentaire.,2023-12-21 17:19:41,5
85,14,Nul,Ceci est un commentaire.,2023-12-30 19:50:45,1
145,63,Bof,Ceci est un commentaire.,2023-12-29 06:37:19,1
213,43,A revoir,Ceci est un commentaire.,2023-12-28 10:59:08,1
395,52,A revoir,Ceci est un commentaire.,2023-06-14 23:31:38,4
244,168,A revoir,Ceci est un commentaire.,2023-12-24 11:30:42,1
396,12,Super,Ceci est un commentaire.,2023-10-21 22:12:28,4
467,189,Super,Ceci est un commentaire.,2023-12-20 09:34:06,4
116,141,Nul,Ceci est un commentaire.,2023-12-27 06:29:49,3
397,53,Genial,Ceci est un commentaire.,2023-12-26 04:25:19,3
357,113,A revoir,Ceci est un commentaire.,2023-12-30 21:49:53,4
194,173,Super,Ceci est un commentaire.,2023-12-30 12:30:47,5
4,151,Bof,Ceci est un commentaire.,2023-12-17 00:21:13,2
275,90,Nul,Ceci est un commentaire.,2023-12-06 15:07:29,3
55,36,Nul,Ceci est un commentaire.,2023-07-28 12:16:56,1
227,12,Super,Ceci est un commentaire.,2023-09-05 21:07:51,3
393,91,Genial,Ceci est un commentaire.,2023-11-25 01:32:26,4
235,169,Nul,Ceci est un commentaire.,2023-12-30 20:59:37,3
35,2,Super,Ceci est un commentaire.,2023-12-25 16:40:55,5
220,58,Super,Ceci est un commentaire.,2023-10-28 23:01:41,5
488,12,Bof,Ceci est un commentaire.,2023-11-07 17:40:17,1
153,94,Super,Ceci est un commentaire.,2023-12-27 20:58:30,3
27,77,Bof,Ceci est un commentaire.,2023-12-02 14:34:22,4
439,167,Super,Ceci est un commentaire.,2023-12-27 21:35:56,3
441,127,Super,Ceci est un commentaire.,2023-05-04 14:39:22,4
105,146,Nul,Ceci est un commentaire.,2023-12-30 02:01:06,5
193,60,Super,Ceci est un commentaire.,2023-10-16 01:16:48,3
63,129,A revoir,Ceci est un commentaire.,2023-12-25 14:20:52,3
333,51,Bof,Ceci est un commentaire.,2023-12-15 07:57:36,2
207,125,Bof,Ceci est un commentaire.,2023-08-30 20:23:28,5
309,80,Bof,Ceci est un commentaire.,2023-12-30 23:14:59,1
137,4,Nul,Ceci est un commentaire.,2023-09-04 05:38:25,5
103,164,Bof,Ceci est un commentaire.,2023-12-26 08:34:09,5
6,190,Super,Ceci est un commentaire.,2023-12-08 19:00:11,2
258,173,Nul,Ceci est un commentaire.,2023-12-30 23:55:40,2
192,109,Super,Ceci est un commentaire.,2023-12-19 21:28:36,3
130,46,Bof,Ceci est un commentaire.,2023-12-30 23:20:59,4
149,186,A revoir,Ceci est un commentaire.,2023-12-12 19:20:09,3
13,16,Bof,Ceci est un commentaire.,2023-12-25 02:46:01,1
185,168,Bof,Ceci est un commentaire.,2023-12-18 09:51:46,3
354,143,A revoir,Ceci est un commentaire.,2023-12-29 13:32:54,5
75,41,A revoir,Ceci est un commentaire.,2023-12-30 23:07:31,2
81,75,Super,Ceci est un commentaire.,2023-11-07 12:52:37,1
118,23,Nul,Ceci est un commentaire.,2023-11-07 08:48:56,3
185,127,Genial,Ceci est un commentaire.,2023-05-20 17:58:31,4
131,34,Bof,Ceci est un commentaire.,2023-12-30 20:37:37,4
11,180,A revoir,Ceci est un commentaire.,2023-12-06 07:09:30,4
216,93,Super,Ceci est un commentaire.,2023-12-29 12:20:36,5
242,106,Nul,Ceci est un commentaire.,2023-12-13 21:09:06,4
228,124,A revoir,Ceci est un commentaire.,2023-12-22 08:23:16,3
21,62,Bof,Ceci est un commentaire.,2023-10-29 01:25:45,2
127,74,Genial,Ceci est un commentaire.,2023-12-30 04:44:07,4
312,184,Bof,Ceci est un commentaire.,2023-12-28 19:43:53,1
257,130,Nul,Ceci est un commentaire.,2023-12-28 06:49:13,2
434,30,Bof,Ceci est un commentaire.,2023-12-29 16:15:22,5
57,173,Bof,Ceci est un commentaire.,2023-12-30 11:05:58,3
386,98,A revoir,Ceci est un commentaire.,2023-12-29 14:38:33,1
149,60,A revoir,Ceci est un commentaire.,2023-12-07 11:30:16,5
221,59,A revoir,Ceci est un commentaire.,2023-11-03 07:06:30,1
16,53,Nul,Ceci est un commentaire.,2023-10-26 05:13:24,4
316,67,Bof,Ceci est un commentaire.,2023-12-30 03:39:37,2
88,110,Super,Ceci est un commentaire.,2023-12-29 09:38:26,5
478,186,Genial,Ceci est un commentaire.,2023-12-17 00:25:26,4
202,43,Nul,Ceci est un commentaire.,2023-12-26 02:48:02,4
499,21,A revoir,Ceci est un commentaire.,2023-12-14 21:06:00,2
337,52,Nul,Ceci est un commentaire.,2023-07-01 09:12:42,2
385,177,A revoir,Ceci est un commentaire.,2023-12-29 02:01:59,1
164,5,Nul,Ceci est un commentaire.,2023-12-28 06:29:11,1
58,6,Genial,Ceci est un commentaire.,2023-12-25 13:39:13,5
147,76,Nul,Ceci est un commentaire.,2023-10-28 22:58:17,4
448,61,Super,Ceci est un commentaire.,2023-12-26 16:51:30,5
308,138,Nul,Ceci est un commentaire.,2023-11-28 05:46:41,3
496,95,Super,Ceci est un commentaire.,2023-06-21 02:39:20,1
125,127,Genial,Ceci est un commentaire.,2023-08-07 15:58:26,1
195,28,Genial,Ceci est un commentaire.,2023-12-13 00:17:45,1
320,192,Genial,Ceci est un commentaire.,2023-12-30 19:39:41,2
338,193,A revoir,Ceci est un commentaire.,2023-12-10 01:45:27,3
178,23,A revoir,Ceci est un commentaire.,2023-12-29 02:30:22,1
128,69,Bof,Ceci est un commentaire.,2023-12-30 04:46:25,5
158,87,Genial,Ceci est un commentaire.,2023-12-20 12:38:40,3
407,34,Genial,Ceci est un commentaire.,2023-12-30 01:36:59,4
282,116,Nul,Ceci est un commentaire.,2023-12-04 05:21:12,2
270,109,Nul,Ceci est un commentaire.,2023-10-23 00:49:25,4
437,83,Nul,Ceci est un commentaire.,2023-12-25 09:06:23,2
328,90,Bof,Ceci est un commentaire.,2023-09-08 08:57:08,2
101,29,A revoir,Ceci est un commentaire.,2023-11-28 17:37:00,2
488,21,A revoir,Ceci est un commentaire.,2023-12-24 11:50:34,4
165,99,A revoir,Ceci est un commentaire.,2023-12-30 12:50:30,2
458,177,Super,Ceci est un commentaire.,2023-11-09 13:57:49,1
474,162,Super,Ceci est un commentaire.,2023-10-27 04:11:29,5
113,171,Bof,Ceci est un commentaire.,2023-12-03 04:32:08,1
295,36,Bof,Ceci est un commentaire.,2023-08-07 11:13:15,1
168,176,Nul,Ceci est un commentaire.,2023-12-30 14:13:05,3
452,124,Nul,Ceci est un commentaire.,2023-12-25 21:03:16,3
197,69,Nul,Ceci est un commentaire.,2023-12-30 17:41:34,5
477,33,Genial,Ceci est un commentaire.,2023-12-30 17:06:58,3
234,158,Super,Ceci est un commentaire.,2023-10-17 20:10:01,1
271,44,Nul,Ceci est un commentaire.,2023-12-28 20:25:21,5
469,179,A revoir,Ceci est un commentaire.,2023-12-29 06:48:40,4
277,72,Nul,Ceci est un commentaire.,2023-11-02 08:01:43,4
43,90,Super,Ceci est un commentaire.,2023-07-17 14:40:31,3
227,158,Bof,Ceci est un commentaire.,2023-12-07 07:24:59,2
187,178,Super,Ceci est un commentaire.,2023-11-15 22:08:45,3
317,63,Bof,Ceci est un commentaire.,2023-12-30 20:32:08,2
286,20,A revoir,Ceci est un commentaire.,2023-12-28 15:15:13,4
289,31,Genial,Ceci est un commentaire.,2023-12-14 20:05:38,2
286,43,Super,Ceci est un commentaire.,2023-12-26 07:33:20,1
103,119,Bof,Ceci est un commentaire.,2023-10-14 19:44:59,4
187,154,Bof,Ceci est un commentaire.,2023-11-01 00:17:16,4
483,188,Nul,Ceci est un commentaire.,2023-05-25 05:04:48,4
65,66,A revoir,Ceci est un commentaire.,2023-11-20 13:56:29,2
114,51,Super,Ceci est un commentaire.,2023-12-11 05:43:40,3
187,113,Nul,Ceci est un commentaire.,2023-12-30 23:05:24,2
163,178,A revoir,Ceci est un commentaire.,2023-12-10 05:42:36,4
286,40,A revoir,Ceci est un commentaire.,2023-12-29 18:35:58,2
423,69,Nul,Ceci est un commentaire.,2023-12-29 08:41:12,4
190,123,Nul,Ceci est un commentaire.,2023-12-28 18:31:51,4
196,1,Bof,Ceci est un commentaire.,2023-12-30 13:55:11,2
461,114,A revoir,Ceci est un commentaire.,2023-12-14 12:23:40,5
159,159,Super,Ceci est un commentaire.,2023-12-17 16:10:01,5
394,80,Super,Ceci est un commentaire.,2023-12-15 18:03:31,5
235,44,Super,Ceci est un commentaire.,2023-12-30 07:34:03,3
166,180,Genial,Ceci est un commentaire.,2023-12-19 15:37:43,4
155,146,Genial,Ceci est un commentaire.,2023-12-30 12:01:16,4
445,129,Super,Ceci est un commentaire.,2023-12-30 01:47:37,5
410,94,Bof,Ceci est un commentaire.,2023-11-19 07:09:25,3
338,155,Super,Ceci est un commentaire.,2023-12-27 05:45:35,3
36,91,A revoir,Ceci est un commentaire.,2023-06-17 21:42:22,3
297,152,Super,Ceci est un commentaire.,2023-11-10 07:12:40,4
394,69,Bof,Ceci est un commentaire.,2023-12-30 23:53:27,1
301,48,A revoir,Ceci est un commentaire.,2023-12-09 23:14:48,3
244,37,A revoir,Ceci est un commentaire.,2023-12-29 21:58:14,1
227,142,A revoir,Ceci est un commentaire.,2023-12-04 02:41:52,4
175,93,Super,Ceci est un commentaire.,2023-12-26 02:53:10,3
156,123,A revoir,Ceci est un commentaire.,2023-12-17 23:11:37,2
359,110,Super,Ceci est un commentaire.,2023-12-27 05:17:39,1
162,144,A revoir,Ceci est un commentaire.,2023-07-22 14:13:57,1
78,63,Genial,Ceci est un commentaire.,2023-12-27 17:27:49,4
363,129,Super,Ceci est un commentaire.,2023-12-30 19:40:12,3
236,46,A revoir,Ceci est un commentaire.,2023-12-29 23:01:36,2
431,98,A revoir,Ceci est un commentaire.,2023-12-25 15:35:09,2
130,78,Super,Ceci est un commentaire.,2023-11-25 19:52:15,2
191,158,Super,Ceci est un commentaire.,2023-11-28 01:07:16,2
205,74,Bof,Ceci est un commentaire.,2023-12-01 05:00:24,5
62,182,Super,Ceci est un commentaire.,2023-08-18 11:32:02,1
272,156,Super,Ceci est un commentaire.,2023-12-27 22:51:20,3
237,153,Bof,Ceci est un commentaire.,2023-11-28 00:35:14,1
97,75,A revoir,Ceci est un commentaire.,2023-12-14 08:59:34,2
87,24,Super,Ceci est un commentaire.,2023-12-20 17:24:02,3
267,124,A revoir,Ceci est un commentaire.,2023-12-22 14:20:33,3
338,169,Nul,Ceci est un commentaire.,2023-12-29 13:34:56,5
413,67,Super,Ceci est un commentaire.,2023-12-26 03:55:19,2
363,87,Nul,Ceci est un commentaire.,2023-12-27 13:38:47,3
477,154,Super,Ceci est un commentaire.,2023-11-18 09:57:45,3
290,61,Genial,Ceci est un commentaire.,2023-12-22 20:06:52,4
154,125,Genial,Ceci est un commentaire.,2023-08-02 22:39:40,2
169,63,Genial,Ceci est un commentaire.,2023-12-28 08:45:16,2
189,199,Nul,Ceci est un commentaire.,2023-12-21 02:51:26,3
421,17,Nul,Ceci est un commentaire.,2023-10-03 02:43:16,1
70,183,A revoir,Ceci est un commentaire.,2023-12-13 16:40:45,1
198,14,Nul,Ceci est un commentaire.,2023-12-30 17:58:31,5
88,132,Super,Ceci est un commentaire.,2023-12-30 23:54:06,4
303,140,Nul,Ceci est un commentaire.,2023-07-24 16:46:29,3
193,196,Genial,Ceci est un commentaire.,2023-12-13 10:47:34,2
95,56,Bof,Ceci est un commentaire.,2023-12-20 09:31:01,1
71,116,Nul,Ceci est un commentaire.,2023-11-14 05:50:48,2
27,52,Genial,Ceci est un commentaire.,2023-08-08 04:41:47,5
191,147,Genial,Ceci est un commentaire.,2023-12-26 04:07:24,3
295,24,Bof,Ceci est un commentaire.,2023-08-16 00:39:03,5
314,1,Super,Ceci est un commentaire.,2023-12-30 19:55:34,2
12,54,Bof,Ceci est un commentaire.,2023-12-29 14:51:34,4
244,20,A revoir,Ceci est un commentaire.,2023-12-28 19:35:44,1
391,179,Nul,Ceci est un commentaire.,2023-12-29 19:57:58,5
133,176,Super,Ceci est un commentaire.,2023-10-29 15:50:24,2
437,176,Nul,Ceci est un commentaire.,2023-12-30 03:05:14,3
147,196,Nul,Ceci est un commentaire.,2023-12-30 10:07:54,3
107,26,Genial,Ceci est un commentaire.,2023-12-30 20:24:14,1
308,149,A revoir,Ceci est un commentaire.,2023-12-29 21:28:26,2
113,160,Bof,Ceci est un commentaire.,2023-12-30 14:42:14,1
215,128,A revoir,Ceci est un commentaire.,2023-12-30 22:01:28,5
92,114,Bof,Ceci est un commentaire.,2023-11-30 02:43:34,2
400,147,Genial,Ceci est un commentaire.,2023-12-27 02:10:58,5
237,68,Nul,Ceci est un commentaire.,2023-11-29 04:17:52,2
343,99,Super,Ceci est un commentaire.,2023-12-29 08:13:18,1
441,116,Nul,Ceci est un commentaire.,2023-09-21 22:30:50,1
492,29,Super,Ceci est un commentaire.,2023-08-27 06:22:08,1
446,55,Bof,Ceci est un commentaire.,2023-11-01 03:18:17,3
368,78,Nul,Ceci est un commentaire.,2023-11-26 16:21:04,1
401,135,A revoir,Ceci est un commentaire.,2023-12-15 15:27:52,3
22,200,Nul,Ceci est un commentaire.,2023-12-28 17:39:28,2
461,130,Genial,Ceci est un commentaire.,2023-12-25 21:45:11,1
309,149,Super,Ceci est un commentaire.,2023-12-26 08:07:47,5
454,107,Bof,Ceci est un commentaire.,2023-10-13 12:51:30,5
362,141,Nul,Ceci est un commentaire.,2023-12-06 01:49:02,1
38,157,Genial,Ceci est un commentaire.,2023-12-28 17:12:54,1
193,45,A revoir,Ceci est un commentaire.,2023-12-30 15:26:46,3
406,200,A revoir,Ceci est un commentaire.,2023-10-26 07:03:43,3
327,161,A revoir,Ceci est un commentaire.,2023-12-19 06:45:39,2
489,170,Bof,Ceci est un commentaire.,2023-11-26 22:45:23,2
5,198,A revoir,Ceci est un commentaire.,2023-10-12 16:27:42,1
475,111,A revoir,Ceci est un commentaire.,2023-12-26 10:32:12,3
113,83,Genial,Ceci est un commentaire.,2023-12-12 03:35:14,4
454,48,Bof,Ceci est un commentaire.,2023-12-18 16:03:58,2
17,115,Super,Ceci est un commentaire.,2023-10-17 08:50:30,2
132,180,Nul,Ceci est un commentaire.,2023-12-25 22:40:42,5
134,167,Genial,Ceci est un commentaire.,2023-12-28 06:36:41,3
440,47,Nul,Ceci est un commentaire.,2023-12-18 12:48:58,5
21,130,Bof,Ceci est un commentaire.,2023-12-27 18:03:24,5
342,33,Nul,Ceci est un commentaire.,2023-12-30 23:54:24,4
363,132,A revoir,Ceci est un commentaire.,2023-11-16 04:20:02,5
435,144,Super,Ceci est un commentaire.,2023-12-30 12:19:59,4
367,175,Nul,Ceci est un commentaire.,2023-12-11 23:59:33,1
498,25,Nul,Ceci est un commentaire.,2023-12-29 19:56:45,4
402,12,A revoir,Ceci est un commentaire.,2023-10-16 15:22:44,4
249,89,Super,Ceci est un commentaire.,2023-12-02 19:07:25,5
300,128,Nul,Ceci est un commentaire.,2023-12-30 23:33:24,4
139,29,Nul,Ceci est un commentaire.,2023-09-11 07:23:33,3
289,51,Nul,Ceci est un commentaire.,2023-12-22 13:59:21,1
344,12,A revoir,Ceci est un commentaire.,2023-11-08 17:15:13,1
373,63,Super,Ceci est un commentaire.,2023-12-28 14:58:05,3
68,45,A revoir,Ceci est un commentaire.,2023-12-30 02:55:02,1
492,99,A revoir,Ceci est un commentaire.,2023-12-16 18:22:31,2
288,9,Genial,Ceci est un commentaire.,2023-10-28 19:13:31,2
171,22,Genial,Ceci est un commentaire.,2023-12-13 06:12:21,5
430,45,Bof,Ceci est un commentaire.,2023-12-27 14:28:12,5
177,4,Super,Ceci est un commentaire.,2023-12-12 06:36:20,4
230,120,Nul,Ceci est un commentaire.,2023-12-29 14:32:28,5
320,37,Nul,Ceci est un commentaire.,2023-12-30 23:03:28,4
